Beam,Station (m),ETABS M3 (kN·m),2D M (kN·m),3D M (kN·m),FEM M (kN·m),Δ2D%,Δ3D%,ΔFEM%
B30,0.500,1.36,0.30,0.00,0.00,-77.9%,-100.0%,-100.0%
B30,1.000,0.00,0.30,0.00,0.00,0.0%,0.0%,0.0%
B30,0.000,1.95,-2.51,0.00,0.00,-229.0%,-100.0%,-100.0%
B30,0.500,1.30,0.30,0.00,0.00,-77.0%,-100.0%,-100.0%
B30,1.000,0.00,0.30,0.00,0.00,0.0%,0.0%,0.0%
B31,0.000,9.64,-6.51,0.00,0.00,-167.6%,-100.0%,-100.0%
B31,0.450,0.17,0.66,0.00,0.00,+282.7%,-100.0%,-100.0%
B31,0.900,-9.75,1.68,0.00,0.00,+117.3%,+100.0%,+100.0%
B31,0.000,8.20,-6.51,0.00,0.00,-179.4%,-100.0%,-100.0%
B31,0.450,0.28,0.66,0.00,0.00,+137.6%,-100.0%,-100.0%
B31,0.900,-8.18,1.68,0.00,0.00,+120.6%,+100.0%,+100.0%
B32,0.000,0.00,1.08,0.00,0.00,0.0%,0.0%,0.0%
B32,0.400,-5.41,1.63,0.00,0.00,+130.1%,+100.0%,+100.0%
B32,0.800,-11.18,-2.20,0.00,0.00,+80.3%,+100.0%,+100.0%
B32,0.000,0.00,1.08,0.00,0.00,0.0%,0.0%,0.0%
B32,0.400,-4.51,1.63,0.00,0.00,+136.1%,+100.0%,+100.0%
B32,0.800,-9.44,-2.20,0.00,0.00,+76.7%,+100.0%,+100.0%
B13,0.100,-1.31,-5.56,0.00,0.00,-324.3%,+100.0%,+100.0%
B13,0.550,6.68,1.86,0.00,0.00,-72.2%,-100.0%,-100.0%
B13,1.000,14.22,6.22,0.00,0.00,-56.3%,-100.0%,-100.0%
